update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=be0920cd-96d8-4f07-ac3f-10ad747be62e, now_rank=1, history_rank=[], is_view=True, is_click=True, ad=True, timestamp=2024-01-22 15:02:11.359962+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=ef9e6e40-f532-40a3-9efb-5e38e20f5f24, now_rank=6, history_rank=[3], is_view=True, is_click=False, ad=False, timestamp=2024-01-22 15:02:20.911651+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=ef592356-131f-4b37-84e4-04b3081e60a2, now_rank=2, history_rank=[5], is_view=True, is_click=False, ad=False, timestamp=2024-01-22 15:02:20.911651+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=34a03a3d-0cff-439f-80dd-397bf2468ee8, now_rank=3, history_rank=[2], is_view=True, is_click=True, ad=False, timestamp=2024-01-22 15:02:20.911651+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=7d6282e7-a274-44ca-8c2f-c46adc546b88, now_rank=4, history_rank=[1], is_view=True, is_click=True, ad=False, timestamp=2024-01-22 15:02:20.911651+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=bce38af7-2804-410a-ab91-6c1a293c4cec, now_rank=5, history_rank=[4], is_view=True, is_click=False, ad=False, timestamp=2024-01-22 15:02:20.911651+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=d1aeda4b-0149-445a-82a6-43d9b2afd9aa, now_rank=7, history_rank=[6], is_view=True, is_click=False, ad=False, timestamp=2024-01-22 15:02:20.911651+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=f333e091-613a-43a5-be8b-5cb8c7fe3165, now_rank=1, history_rank=[7], is_view=True, is_click=False, ad=False, timestamp=2024-01-22 15:02:20.911651+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=70c2bb4c-4ae4-43a4-9158-a3023772575e, now_rank=8, history_rank=[], is_view=True, is_click=False, ad=False, timestamp=2024-01-22 15:02:11.359962+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=04ed3dab-9ac1-4676-a650-f66484650ded, now_rank=9, history_rank=[], is_view=True, is_click=False, ad=False, timestamp=2024-01-22 15:02:11.359962+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=6a83e31b-ae60-4019-b74c-571f930a28cd, now_rank=10, history_rank=[], is_view=True, is_click=False, ad=False, timestamp=2024-01-22 15:02:11.359962+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=d7afa4e5-ee4f-4090-b292-1e338785f2f7, now_rank=11, history_rank=[], is_view=True, is_click=False, ad=False, timestamp=2024-01-22 15:02:11.359962+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=68fabd29-cbd4-43df-93a2-b70b8ee64ecc, now_rank=12, history_rank=[], is_view=True, is_click=False, ad=False, timestamp=2024-01-22 15:02:11.359962+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=050aa4bd-a4ab-49dc-b98f-7382bbc58ad1, now_rank=2, history_rank=[], is_view=True, is_click=True, ad=True, timestamp=2024-01-22 15:02:11.359962+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=eb30178e-33ad-4729-b777-8609ecb47461, now_rank=13, history_rank=[], is_view=True, is_click=False, ad=False, timestamp=2024-01-22 15:02:11.359962+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=2dd86c54-fa1c-4bc9-9f6a-45b1cd1ab33f, now_rank=14, history_rank=[], is_view=True, is_click=False, ad=False, timestamp=2024-01-22 15:02:11.359962+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=e296a9bc-7eda-4bad-94c9-58b71e469db4, now_rank=15, history_rank=[], is_view=True, is_click=False, ad=False, timestamp=2024-01-22 15:02:11.359962+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=87b1f2f6-c167-4515-9a26-613d29ab78ff, now_rank=16, history_rank=[], is_view=True, is_click=False, ad=False, timestamp=2024-01-22 15:02:11.359962+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=d14db866-3866-4509-9982-59a1f76de349, now_rank=17, history_rank=[], is_view=True, is_click=False, ad=False, timestamp=2024-01-22 15:02:11.359962+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=918e5acd-8544-43be-9cd2-0d389b777396, now_rank=18, history_rank=[], is_view=True, is_click=False, ad=False, timestamp=2024-01-22 15:02:11.359962+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=2076e2ae-4998-4cf4-85b1-477b50038a1a, now_rank=19, history_rank=[], is_view=True, is_click=True, ad=False, timestamp=2024-01-22 15:02:11.359962+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=c9ceecc4-b39d-440f-81e9-87d48471384a, now_rank=20, history_rank=[], is_view=True, is_click=False, ad=False, timestamp=2024-01-22 15:02:11.359962+00:00)>
update_task_result <TaskResult(user_id=25ecc0fa-fc2a-4780-ab8f-76402a2e9153, search_result_id=8cd91294-cf41-4658-9d07-276f156b0021, now_rank=24, history_rank=[], is_view=True, is_click=False, ad=False, timestamp=2024-01-22 15:02:11.359962+00:00)>
